ID,y
1,82.87098
2,97.369026
3,83.09156
4,77.11947
5,112.56715
8,91.428085
10,99.46841
11,94.84507
12,116.91187
14,96.056496
15,115.6634
16,105.29513
17,101.043335
19,90.94432
20,100.702965
21,105.6629
22,118.31466
23,101.043335
26,95.89431
28,96.09384
29,101.043335
33,101.043335
35,94.391304
41,101.043335
42,94.78365
43,113.50192
45,102.25648
46,100.63433
51,94.560524
53,84.034
55,109.21281
56,105.19619
57,109.93498
58,98.74204
59,103.48184
63,105.56673
64,94.72672
65,100.550095
69,97.72159
71,99.397804
72,104.72492
73,96.87735
76,104.193756
77,96.29852
78,116.06609
82,94.546135
83,100.550095
84,100.46357
85,106.67357
87,110.536804
88,101.043335
89,110.32461
91,98.019745
93,102.44394
94,103.84115
95,100.279236
96,111.19318
97,95.695885
98,109.74319
99,98.68487
101,106.09791
103,110.32461
104,93.74239
105,109.89582
110,97.0628
111,101.96025
113,105.59165
114,97.39458
115,111.453766
117,110.32461
120,95.907486
121,113.09178
122,94.33425
123,106.05052
126,108.38855
132,109.33204
135,111.09886
137,102.59275
138,94.96341
140,104.08699
142,108.983864
144,110.63151
148,91.786865
149,112.902504
155,102.56659
156,111.70079
157,95.695885
162,114.44756
163,95.88669
167,94.96199
172,113.50192
179,107.27378
180,94.79062
181,108.106316
182,97.06237
183,110.32461
185,110.32461
187,107.19455
188,93.02529
189,95.52396
191,93.46826
192,103.60866
193,93.6045
194,107.73859
195,94.56503
196,99.45552
198,109.409325
199,110.95541
201,100.473305
204,94.943
205,106.17575
206,106.31334
210,96.56394
211,106.09791
216,111.54504
219,116.91187
220,92.60572
221,109.1843
226,108.106316
227,93.05351
228,110.153786
230,109.486336
231,95.695885
235,118.31466
236,99.011024
238,111.65717
242,104.01601
243,93.9253
244,80.304
245,110.572815
247,118.57136
248,94.89833
249,91.59363
250,113.43656
251,99.011024
253,118.31466
254,95.59777
256,95.201
257,92.02631
258,109.0973
259,98.000374
262,91.877106
266,101.37805
267,113.06729
272,103.82865
273,110.32461
275,94.36522
276,109.08855
279,93.06295
280,100.550095
283,92.861374
285,109.92898
288,110.32461
289,108.92799
290,101.02117
291,94.93074
292,105.11536
293,106.115814
296,94.0202
297,105.09236
298,116.04385
299,94.163124
304,91.803215
305,87.617355
306,94.69362
307,109.036255
311,103.8938
313,109.09408
314,92.5509
316,109.82376
324,111.34429
327,99.29249
329,92.59899
330,109.45212
337,97.5271
338,95.104675
339,98.933304
340,93.820076
343,93.444664
345,115.6634
346,96.763756
347,112.247604
349,110.38858
350,95.428856
352,102.86735
353,92.57892
354,91.73413
357,95.949905
358,107.56655
362,108.231476
364,104.2426
365,101.24515
366,102.0481
367,106.63842
368,93.87257
370,80.907524
373,98.6866
377,93.54556
378,107.5329
382,104.193756
384,110.201904
390,97.32194
392,111.968346
393,112.89776
395,94.21015
396,96.68309
399,80.47336
406,109.09408
408,109.09408
409,95.326584
410,80.59549
412,112.57761
413,89.39761
419,100.33464
420,105.805855
421,89.94018
430,105.25582
434,93.5772
436,94.95013
437,102.387886
438,90.72123
439,110.94498
440,101.64193
443,101.548775
446,95.0449
448,93.34852
452,94.38595
453,108.85198
457,99.632965
458,94.65677
459,114.17852
460,103.89442
462,103.88622
464,101.12206
465,116.91187
467,112.59093
471,107.12873
472,77.009346
473,105.6449
475,95.848145
480,102.417496
488,105.718834
490,109.036255
491,104.83054
492,83.083824
493,98.08416
497,93.924675
498,107.56652
499,94.45044
500,100.73511
501,94.98233
502,112.17608
506,87.39674
510,108.16571
511,90.7423
512,93.595245
516,93.453804
518,97.7158
519,112.23046
521,91.72768
522,111.67145
526,113.84556
529,106.23867
532,111.825066
533,94.85253
536,111.44786
537,94.8142
539,95.01262
540,105.80962
541,96.93951
543,94.221794
546,109.79753
547,98.79098
548,91.34458
551,94.76561
552,107.45103
556,101.45755
557,101.391045
558,106.63842
559,93.86662
560,105.67145
562,104.96846
566,98.29271
570,107.56652
571,102.387886
572,100.550095
573,94.095245
575,116.91187
576,109.03126
577,95.59776
579,91.1746
580,112.24623
581,109.02154
589,109.036255
591,101.562706
593,95.53564
594,105.49347
595,94.6908
598,95.2837
602,106.543396
604,111.74734
606,107.07192
608,102.21462
609,106.09791
610,96.501045
616,108.34494
617,94.74269
618,107.06661
620,106.85456
622,102.09706
623,89.06694
624,109.39896
626,112.765724
628,112.338936
629,97.256775
630,109.486336
637,91.750725
638,100.784836
643,105.85309
645,102.417496
646,111.84086
648,94.86594
652,99.049774
653,100.397545
654,107.56652
656,110.88658
657,104.571175
659,100.291306
660,109.24829
663,93.40903
664,110.20094
666,107.44333
668,104.87213
669,94.2727
671,95.02891
675,90.548
677,96.34162
678,107.4504
679,104.0555
682,106.432304
685,107.479095
687,96.60162
688,95.00515
693,111.51325
696,99.637375
698,93.84815
701,101.07661
704,97.64329
705,116.82135
709,104.210106
710,98.67092
711,108.70442
712,98.75728
714,110.33766
715,91.110054
716,109.036255
717,94.57829
720,115.6634
721,93.46826
724,105.10531
725,95.28309
726,100.86249
728,110.597664
731,97.43989
734,111.3316
738,93.01893
745,105.65858
746,92.46057
751,78.4658
754,95.60918
756,98.65254
758,98.26543
759,109.39581
761,117.52599
766,99.73408
767,106.67845
768,89.08382
769,111.94159
770,98.117966
771,83.083824
772,107.62513
773,96.35048
774,103.28381
776,110.17739
777,104.1287
780,113.50192
782,105.79671
787,103.1976
788,95.01262
792,90.8432
793,113.01532
798,108.84487
800,92.245995
806,109.036255
809,110.591095
811,107.28675
812,95.87263
814,116.91187
816,108.133545
817,93.65428
818,108.314384
820,99.27744
823,95.11883
829,94.324554
830,112.755295
831,91.96426
834,110.10102
839,103.18684
841,83.62399
844,104.71677
845,94.7727
848,91.71786
850,116.67179
851,106.72893
852,96.60614
854,93.034195
855,104.6453
856,109.999435
859,102.42997
861,103.28381
864,93.28743
865,104.17381
866,92.16552
867,98.15078
869,96.64448
871,92.639824
872,109.036255
882,103.19154
883,93.5772
885,94.73389
888,99.29249
893,107.36551
901,107.69673
903,104.81763
904,93.505905
905,108.235596
910,100.297874
911,112.6283
914,110.36044
918,107.12948
921,91.83715
928,97.07492
929,108.9563
932,103.59252
933,95.95947
934,100.297874
935,108.6258
937,80.13488
939,94.50942
940,105.82177
941,99.532585
942,105.25937
943,92.71173
944,105.02348
947,109.036255
949,108.36881
951,101.75127
952,94.39901
953,104.81763
954,76.930626
957,110.23191
959,90.001656
960,110.33162
963,116.91187
965,109.036255
967,108.84744
971,94.9332
972,77.5538
973,91.71261
974,110.56379
975,99.73874
978,106.93267
980,95.990906
981,94.05004
984,110.365875
986,100.297874
988,89.08382
989,107.04337
990,106.04143
992,107.69673
996,103.66638
999,109.40324
